"action",,"add, del, edit",,"Lägg till, ta bort, eller redigera en anknytning."
"extension",,,"Anknytning","Anknytningsnumret för denna användare."
"name",,,"Visningsnamn","Nummerpresentationen för samtal från denna användare kommer att sättas till detta namn. Skriv endast namnet, INTE numret"
"cid_masquerade",,,"Alias för nummerpresentation","Nummerpresentation att användas för interna samtal om det skiljer sig från anknytningsnumret. Detta används för att maskera nummerpresentationen. Ett exempel är att en grupp av telefoner kommer att visa samma nummer vid interna samtal, t.ex. Supportavdelningen."
"sipname",,,"Alias för SIP","Om du vill använda samtal via sip internt eller genom anonyma samtal, ange då ett namn här. Detta namn, eller anknytningen, kan användas för att ringa upp anknytningen."
"outboundcid",,,"Utgående nummerpresentation","Använd denna nummerpresentation för samtal. Denna inställning används i stället för den generella utgående nummerpresentationen satt för utgående samtal.<br><br>Format: <b>&quot;namn&quot; &lt;#######&gt;</b><br><br>Lämna detta fält tomt för att stänga av nummerpresentation för denna användare."
"ringtimer","0","0-120","Ringtid","Antal sekunder att ringa före samtalet kopplas till röstbrevlåda. Standard är värdet som är satt i <b>Generella inställningar</b>. Om ingen röstbrevlåda är angiven har inställningen ingen funktion."
"callwaiting","enabled","enabled, disabled","Samtal väntar","Sätter valet för Samtal väntar för denna anknytning."
"call_screen","0","0, nomemory, memory","Sålla samtal","Sålla samtal kräver att externa uppringare måste ange sitt namn som kommer att spelas upp för den uppringde och ger denna då möjlighet att ta samtalet eller avböja det. Sålla samtal  - kom ihåg verifierar inkommande nummerpresentation endast första gången. Sålla samtal - kom inte ihåg kräver att uppringaren varje gång måste ange sitt namn. Bägge valen kommer att kommer att spela upp det sist inspelade namnet sparat med nummerpresentationen."
"pinless",,"enabled, disabled","Ring utan PIN","Aktiveras Ring utan PIN kommer denna anknytning att ignorera alla satta PIN som normalt krävs för att göra utgående samtal" 
"password",,,,"Används för att logga in och ur enheter i läget deviceanduser, detta val finns inte under Anknytningar."
"emergency_cid",,,"Nummerpresentation för nödsamtal","Nummerpresentationen kommer att sättas till detta när ett samtal markerat som ett nödsamtal ringer ut. Denna nummerpresentation skriver över all annan nummerpresentation."
"tech",,"sip, iax2, zap, custom",,"Typ av enhet."
"hardware",,"generic, custom, (kan vara tomt)",,,
"devinfo_channel",,,"channel","Titta i zapata.conf."
"devinfo_secret",,,"secret","Titta i sip.conf file eller i iax.conf."
